format,typ_2026,titel,beschreibung,slot_ref
keynote,Keynote,Future-Fit Mindsets: Skills for a Career That Lasts,"Karrierewege waren mal planbar: Abschluss, Einstieg, Aufstieg. Heute werden Technologien, Rollen und Erwartungen ständig neu geschrieben - und genau darin liegt deine Chance: Nicht der Titel macht dich zukunftssicher, sondern dein Mindset und die Skills, die dich durch Wandel tragen.

Das nimmst du mit: 
- Welche Future Skills wirklich zählen (und wie du sie im Alltag gezielt aufbaust) 
- Wie du Karriere aktiv gestaltest, wenn es keinen „Standardweg“ mehr gibt 
- Wie du mit KI produktiver zusammenarbeitest, statt gegen sie anzukämpfen 
- Warum die Zukunft weiblicher wird - und was es braucht, damit sie auch fairer wird 
- Was 100 Jahre Corporate Transformation über Anpassungsfähigkeit, Verantwortung und Leadership lehren 

Du gehst raus mit klarer Richtung: Du kannst Zukunft gestalten - und deine Rolle darin bewusst wählen.",SL097
keynote,Keynote,Führung ist keine Einbahnstraße: So wirkt dein Einfluss heute wirklich,"Führung fühlt sich oft an wie „oben entscheidet, unten folgt“. Die aktuelle Forschung zeigt: Leadership entsteht in der Wechselwirkung - jeden Tag, in jeder Situation, zwischen dir, deinem Team und dem Kontext.

Das nimmst du mit:

- Was moderne Führungsforschung heute wirklich unter „erfolgreicher Führung“ versteht - jenseits von Charisma-Mythen 
- Welche konkreten Verhaltensweisen Führungskräfte **und** Mitarbeitende nutzen können, um sozialen Einfluss zu nehmen 
- Wie Führung und Teamprozesse in Einklang gebracht werden können

Der Talk basiert auf aktueller Forschung und Beispielstudien und macht sie so greifbar, dass du sie direkt in deinem Leadership-Alltag testen kannst. Gestalte Führung nicht als Titel - sondern als gemeinsame Verantwortung.",SL080
keynote,Keynote,Going Mental: What 23 Years of Elite Performance Taught Me About Excellence,"Olympic champion. Three-time Ironman World Champion. The only athlete to win both. Jan Frodeno spent 23 years mastering elite performance—and learned that success isn't about talent alone. It's about preparation, mental strength, and controlling what you can. In this keynote, Jan shares the strategies that took him to the top: how to handle pressure, why details matter, and how to build a mindset that wins—in sport, business, and life. Real insights from someone who's been at the edge and knows what it takes to push through.",SL062
keynote,Keynote,Hamburg 2040 - Eine Stadt denkt Zukunft,"Wie sieht Hamburg in 15 Jahren aus? Zweite Bürgermeisterin Katharina Fegebank, HHLA-Arbeitsdirektor Torben Seebold und Hauptgeschäftsführer der Handelskammer Dr. Malte Heyne entwerfen die Vision: klimaneutral, digital, lebenswert. Wie transformieren wir Hafen, Mobilität und Wirtschaft? Welche Rolle spielt Hamburg als europäische Tech-Metropole? Ein inspirierendes Gespräch über Stadtentwicklung, Nachhaltigkeit und die Frage: Wie gestalten wir die Zukunft, statt sie zu erleiden?",SL052-2
keynote,Keynote,How to Build a Defensible Software Company in 2026,"A junior developer with a good prompt can ship an MVP in a weekend. AI writes the code, designs the UI, handles the onboarding. The barrier to building software has never been lower.

Which also means: the barrier to copying yours has never been lower either.

Whether you are building a product, leading a tech team, or deciding where to place your bets as a future leader, this is the question you will not be able to avoid: what actually creates lasting value in software when the code itself is no longer the hard part?

Dr. Markus Wübben has spent 17 years at the intersection of machine learning and business, built a Customer Data & Prediction Platform from zero to acquisition, and now advises companies navigating the AI transition. He breaks down what actually creates defensibility in 2026: proprietary data, deep vertical knowledge & integration, speed of learning loops, and the kind of distribution that no AI can replicate overnight.

You will leave with a clear mental model for stress-testing any software bet against the AI commoditization wave, and a concrete framework for where to dig the moat before someone else fills it in.",SL117
keynote,Keynote,Hyperautomation - Das nächste Level der Digitalen Transformation,"Digitalisierung war gestern - jetzt kommt der nächste Gamechanger. Hyperautomation entfesselt das volle Potenzial aus Automatisierung, Daten und KI und macht Prozesse radikal smarter. Erlebt, wo der größte Hebel liegt und wie Unternehmen damit echte Durchbrüche erzielen. Mit spannenden, bereits produktiven Use Cases zeigen wir, wie Zukunft heute schon Realität ist.
Das nimmst du mit:

- Woran du erkennst, welche Prozesse wirklich Hyperautomation-ready sind (und wo der größte Hebel liegt)
- Wie du Use Cases so priorisierst, dass sie schnell Nutzen liefern und trotzdem strategisch passen
- Welche Rollen, Skills und Governance es braucht, damit Verantwortung, Compliance und Tempo zusammengehen
- Wie produktive End-to-End-Beispiele aussehen - von der Datenbasis bis zur KI-Entscheidung im Prozess
- Welche ersten Schritte du in deinem Bereich sofort anstoßen kannst, ohne auf „das große Programm“ zu warten

Du bekommst Einblicke aus bereits produktiven Setups und lernst, wie du Hyperautomation in Leadership übersetzt: als klare Richtung statt Aktionismus. Gestalte Zukunft aktiv - dort, wo Ambition auf Richtung trifft.",SL087
keynote,Keynote,Impossible Cloud: So baust du ein Tech Unicorn aus Deutschland,"Wie entsteht aus einer Idee ein global skalierbares Tech-Unternehmen „Made in Germany“? In diesem Vortrag gibt Dr. Christian Kaul Einblicke in den Aufbau von Impossible Cloud - von der ersten Vision bis zur internationalen Expansion.

Im Mittelpunkt stehen zentrale Erfolgsfaktoren wie die Entwicklung eines klar differenzierten Produkts, der Fokus auf digitale Souveränität und europäische Compliance sowie der Aufbau eines skalierbaren Geschäftsmodells in einem von globalen Cloud-Anbietern dominierten Markt. Dabei wird gezeigt, wie technologische Innovation, Partner-Ökosysteme und transparente Preismodelle kombiniert werden, um nachhaltiges Wachstum zu erreichen.

Der Vortrag beleuchtet außerdem die Herausforderungen beim Aufbau eines Deep-Tech-Startups - von Finanzierung und Go-to-Market-Strategien bis hin zur internationalen Skalierung und Positionierung im globalen Wettbewerb.

Ein praxisnaher Blick hinter die Kulissen eines schnell wachsenden Cloud-Unternehmens und die Frage: Was braucht es, um aus Deutschland heraus ein Tech-Unicorn zu bauen?",SL167
keynote,Keynote,Jenseits von Tools und Agenten: Wie KI das Betriebssystem unserer Arbeit wird,"Felix Schlenther hat 25 KI-Mitarbeiter aufgebaut - und sie alle wieder entlassen. In seiner Keynote zeigt der Gründer von AI FIRST, welcher Paradigmenwechsel nötig ist, damit KI im Unternehmen skalierte Wirkung entfaltet. Eine ehrliche Reise durch drei Jahre Trial & Error - mit einem klaren Blueprint für das, was als Nächstes kommt.",SL111
keynote,Keynote,Karriere war nie das Ziel: Mit Leidenschaft und Haltung in den Vorstand!,"Von Referentin zur Vorständin - aber nicht nach Plan. Katja Groß, Vorstand Personal & IT bei Fielmann, erzählt, wie sie ohne klassischen Karriereplan nach oben kam. Ihre Erfolgsformel: Leidenschaft statt Strategie, Haltung statt Anpassung. Wie man authentisch führt, in männerdominierten Strukturen besteht und warum der Weg wichtiger ist als das Ziel. Ein inspirierendes Plädoyer für alle, die Karriere anders denken wollen.",SL045
keynote,Keynote,Kaufen statt Gründen: Der alternative Weg zum eigenen Unternehmen,"Eine ganze Generation von Unternehmer:innen übergibt gerade das Steuer - und damit die Chance, Verantwortung zu übernehmen, ohne bei null zu starten. Unternehmensnachfolge ist kein „Plan B“, sondern ein direkter Weg zu Leadership, Wirkung und stabilem Fundament: bestehende Kund:innen, eingespielte Teams, echter Cashflow.

Das nimmst du mit:
- Wie du ein passendes Übernahme-Ziel findest: Kriterien, Deal-Sourcing und realistische Branchenchecks 
- Welche Zahlen wirklich zählen: Cashflow-Logik, Risiken erkennen, Qualität von Kund:innen & Team einschätzen 
- Wie Finanzierung konkret funktioniert: Modelle, Gespräche mit Banken/Investor:innen, typische Strukturierung 
- Wie du Fallstricke vermeidest: Due Diligence, Übergabephase, Kultur & Rollenwechsel als neue Führungskraft 
- Wie du dich mental auf Ownership vorbereitest: Entscheidungen treffen, Verantwortung tragen, Community nutzen

Der Talk verbindet konkrete Schritte mit ehrlichen Learnings aus eigener Nachfolge-Erfahrung - damit du aus Ambition Richtung machst: *Where ambition meets direction*.",SL095
keynote,Keynote,KI und die Zukunft - wie wird Künstliche Intelligenz die Welt verändern,"Werden wir alle unsere Jobs verlieren? Elisabeth zeichnet zwei mögliche Zukunftsvisionen auf wie sich die Welt dank künstlicher Intelligenz verändern wird, wie der Einfluss auf den Menschen und das menschliche Gehirn sein könnte und wie der Arbeitsmarkt disruptiert werden wird.",SL056
keynote,Keynote,KI vs. Mensch: Welche Intelligenz bestimmt die Zukunft?,"Wie verändert KI unsere Arbeitswelt, unser Verständnis von Sinn und Verantwortung? Richard David Precht analysiert die gesellschaftsphilosophischen Folgen der Digitalisierung: Welche Chancen eröffnet KI für Innovation und Fortschritt? Wo liegen die Grenzen maschineller Intelligenz? Was macht den Menschen unersetzbar? Precht zeigt, dass KI kein Schicksal ist, sondern ein gestaltbarer Prozess. Ein inspirierender Ausblick für Talente, die die Zukunft aktiv mitgestalten wollen - technologisch versiert, ethisch reflektiert, zukunftsfähig.",SL174
keynote,Keynote,Klartext statt Klischees: Lasst uns über Geld reden,"Wer Inkasso hört, hat direkt Bilder im Kopf. Aber wie tickt diese Branche wirklich, die kaum jemand auf dem Zettel hat? Juliane Schmid leitet eines der größten Inkassounternehmen Deutschlands und gibt Einblicke in die Branche und ihren eigenen Weg: Wie macht man Karriere, ohne einen Masterplan zu haben? Warum sind Fehler wichtig? Und was ist der wichtigste Skill, der sie am weitesten gebracht hat?",SL123
keynote,Keynote,Krise oder Chance? Lohnen sich Startups im Mobility Sektor noch?,"Der Mobility-Sektor gilt als kapitalintensiv, reguliert und schwer zugänglich - doch genau hier entstehen gerade die spannendsten Chancen für die nächste Generation von Gründern. In dieser Session zeigt ein Venture Studio, wie es Einstiegshürden systematisch abbaut: durch gezielte Problemfindung statt blinder Ideensuche, durch Fokus auf die Bereiche der New Mobility mit dem größten Hebeleffekt, und durch ein Netzwerk, das Türen öffnet, die kein Studium und kein Accelerator alleine aufschließen kann.",SL161
keynote,Keynote,Laser Fusion Made in Germany - Why Deep Tech Is the Future,"Fusion energy could solve one of humanity’s greatest challenges - if we can make it work. Marvel Fusion is developing laser fusion reactors in Germany, combining cutting-edge physics with industrial-scale ambition.

Why deep tech is more complex, slower, and riskier than software - yet essential to tackling climate change, energy security, and other existential challenges. A rare look inside one of Europe’s most ambitious moonshots, and why the future belongs to founders who think in decades, not quarters.",SL143
keynote,Keynote,Lead Yourself First: Who am I as a leader?,"Every leadership program teaches you how to manage other people. Almost none teach you how to manage yourself. But self-leadership is the foundation — without it, everything else is built on sand. Still, most new leaders skip the hard question: who am I as a leader?

Brian Tomlinson, who not only is Head of Content at Staffbase but also has several years of experience at Hapag-Lloyd AG and Engel & Völkers, will guide you through this inspiring keynote which will change your view on leadership: It is not about learning the right management techniques, but rather about knowing who you are, what you stand for, and how to operate — independent of any title. 
The viewers view will shift from ""How do I become a leader?"" to ""I already am one — now I need to build on that."" You will leave with a framework (Clarity → Growth → Impact) that applies whether you are leading a team of two or building a company.",SL075
keynote,Keynote,Leadership in der Tech-Welt: Warum Emotionale Intelligenz der unterschätzte Karrierefaktor ist,"In ihrem Vortrag zeigt Sarah al Dujaili, warum emotionale Intelligenz in der Tech-Welt ein oft unterschätzter Karrierefaktor ist. Sie beleuchtet, wie Selbstwahrnehmung, Empathie und soziale Kompetenz in datengetriebenen Organisationen über Einfluss, Zusammenarbeit und beruflichen Erfolg mitentscheiden. Dabei macht sie deutlich, dass wirksame Führung nicht nur auf Fachwissen und Leistung basiert, sondern ebenso auf der Fähigkeit, Menschen zu verstehen, Vertrauen aufzubauen und Beziehungen bewusst zu gestalten.",SL115
keynote,Keynote,Leadership ohne Filter: Infrastruktur. Verantwortung. Zukunft.,"Infrastruktur ist unsichtbar - bis sie ausfällt. Marcel de Groot, CEO von Vodafone, verantwortet eine der komplexesten Telekommunikationsunternehmen Europas. Wie führt man in Krisenzeiten? Wie trifft man Entscheidungen, wenn Millionen Menschen betroffen sind? Ein seltener Einblick in Leadership unter Extrembedingungen: Verantwortung, Resilienz und die Frage, wie wir die Infrastruktur von morgen bauen - nachhaltig, digital und menschenzentriert.",SL044
keynote,Keynote,Leadership: Was viele sich nicht trauen auszusprechen,"Die meisten Organisationen scheitern nicht an Strategie.
Sie scheitern daran, dass niemand klar ausspricht, was nicht funktioniert.

Dominique Jäger spricht genau darüber.

Ohne Buzzwords, ohne Schönreden zeigt sie, warum Führung oft nicht an Menschen scheitert, sondern an Strukturen, Machtmustern und Entscheidungen, die nicht getroffen werden.

Denn das eigentliche Problem ist nicht fehlende Haltung.
Es ist fehlende Konsequenz.

Das nimmst du mit:

Warum in vielen Organisationen klar ist, was falsch läuft — aber niemand es ausspricht
Welche Muster Führung blockieren, obwohl alle „engagiert“ sind
Warum Kultur kein Soft-Thema ist, sondern darüber entscheidet, ob Strategie umgesetzt wird
Was es wirklich bedeutet, Verantwortung zu übernehmen — auch ohne Titel
Warum Veränderung erst passiert, wenn Entscheidungen getroffen werden
Du gehst nicht nur mit Inspiration, sondern mit Klarheit darüber, was in Organisationen nicht funktioniert und was DEIN Beitrag sein kann.",SL066
keynote,Keynote,Movements > Marketing - Was Startups von Wahlkampfkampagnen lernen können,"Wahlkämpfe sind die härtesten Märkte der Welt: Winner takes all, knappes Budget, hoher Druck. Kampagnenberater Julius van der Laar hat Obama, Scholz und Dutzende Politiker zum Sieg geführt. Seine These: Startups brauchen keine Werbekampagnen - sie brauchen Movements. Wie man Communities mobilisiert, Narratives setzt und aus Early Adopters Evangelists macht. Storytelling, Momentum und Psychologie - die Geheimwaffen erfolgreicher Kampagnen, übersetzt für Gründer*innen. Außerdem gibt es noch einen kurzen Ausblick auf die Midterms und die aktuelle Lage in den USA.",SL042
keynote,Keynote,Mutter aller Probleme,"Für die einen ist sie die ""Mutter aller Probleme"", für die anderen die einzige Lösung der demografischen Probleme. Es wird so viel über Migration gesprochen wie über kaum ein anderes Thema. Zugleich ist das Wissen über Migration außergewöhnlich schwach ausgeprägt. Dieser Vortrag fasst zentrale Zusammenhänge und überraschende Befunde zusammen und wagt einen Blick in die Zukunft.",SL049
keynote,Keynote,Never Stop. 3 Lessons From Building Europe's Backbone.,"Ever wondered what it takes to build a successful company from scratch? Julian shares hands-on, most critical practices and ideas from building a multi-million software business in a niche market (construction) - aimed at empowering you to succeed, too, on your journey of building company (whether as founder or as part of a team).",SL148
keynote,Keynote,Next Generation Public Service: Deine Rolle in der Verwaltung von morgen,"Viele denken bei Verwaltung zuerst an Aktenberge und Sachbearbeitung, dabei gibt es in der FHH zahlreiche spannende und vielfältige Aufgaben. In unserem Vortrag zeigen wir, wie modern und sinnstiftend die Arbeit in der Verwaltung eines Stadtstaates sein kann: Von Digitalisierung und Klimaschutz über Stadtentwicklung bis zu sozialen Innovationen. Wer für Hamburg arbeitet, gestaltet das Leben von 1,9 Millionen Menschen aktiv mit. Vor allem bietet die Verwaltung die Möglichkeit, die Zukunft unserer Stadt maßgeblich mitzugestalten und Hamburg weiterzuentwickeln. Entdecke verschiedene Karrierewege, innovative Projekte und erfahre, warum die Verwaltung für Menschen aus ganz unterschiedlichen Fachrichtungen interessante Perspektiven bietet.
Das nimmst du mit: 
- Welche Themen du in Hamburg konkret mitgestalten kannst - von Digitalisierung über Klimaschutz bis Stadtentwicklung und soziale Innovation 
- Wie Wirkung in der Verwaltung entsteht: Entscheidungen, Prozesse und Zusammenarbeit, die 1,9 Millionen Menschen betreffen 
- Welche Karrierewege es gibt (auch für Quereinsteiger:innen) und wie du passende Stationen für deine Stärken findest 
- Welche Future Skills dort besonders zählen: Verantwortungsübernahme, Stakeholder-Management, systemisches Denken und Umsetzungsstärke 
- Wie innovative Projekte in der Verwaltung entstehen - und wie du dich einbringen kannst

Die Speaker:innen arbeiten nah an den Projekten und zeigen dir Praxisbeispiele statt Klischees. Geh raus mit dem Gefühl: Du kannst Zukunft gestalten - und Verwaltung kann genau dein Spielfeld dafür sein.",SL089
keynote,Keynote,Potenzial schlägt Prompt: Wie du in der KI-Ära unersetzlich wirst,"Alles beginnt im Innen! In dieser Session zeigt Unternehmerin und Executive Coach Ragnhild Struss, was die meisten ambitionierten Menschen über Karriere in der KI-Ära noch unterschätzen: der entscheidende Wettbewerbsvorteil ist im Menschen selbst verankert.
Sie zeigt, wie High Performer ihre Persönlichkeit in ein klares Profil übersetzen und ihren Erfolg durch den konsequenten Einsatz ihrer „Human Edge“ aufbauen. 

Die Teilnehmenden lernen, ihr echtes Potenzial zu erkennen. Sie erfahren, welche Core Skills in der KI-Ära zu den stärksten Karrierehebeln werden und wie Top Executives daraus Sichtbarkeit und Wirkung generieren. Die Session verbindet psychologische Tiefenschärfe mit klaren Karriere-Strategien und zeigt sehr konkret, wie man aus Persönlichkeit einen Vorsprung macht, der nicht austauschbar ist.",SL068
keynote,Keynote,Quit your Bullshit Job! Warum du deinen Job kündigen solltest,"Zu viele Menschen gehen einer Beschäftigung nach, die sinnlos ist. Zu viele verschwenden ihr Talent für Dinge, die keiner braucht. Warum du deinen Job kündigen solltest. Und was wirklich zählt, wenn du dich fragst: Was für ein Mensch will ich gewesen sein?",SL073
keynote,Keynote,Raising 100M+ in EnergyTech: Worauf es aus Sicht der Investoren ankommt,Welche Finanzierungsmöglichkeiten gibt es für junge Unternehmen im Energiesektor - auch jenseits des klassischen Venture Capital? Und was macht ein EnergyTech-Unternehmen interessant für die Investoren? In dieser Keynote gibt Stefan Witte von A&O Shearman Einblicke in die aktuellen Marktentwicklungen im Bereich EnergyTech. In welchen Bereichen in Europa und weltweit wird derzeit investiert? Und worauf achten Investoren bei EnergyTech-Investments? Welche Pitfalls sollten EnergyTech-Unternehmen vermeiden?,SL124
keynote,Keynote,Raus aus den Silos & rein in die Verantwortung. Warum die Digitalisierung bei EDEKA auf vernetzte Teams setzt.,"In der digitalen Transformation zählen nicht Einzelkämpfer, sondern Teams, die verschiedene Fähigkeiten bündeln und gemeinsam Verantwortung übernehmen. 
In diesem Talk zeigt Christopher Schmidt, Teamlead CRM von EDEKA, warum interdisziplinäre Zusammenarbeit der Schlüssel ist, um Silos aufzubrechen, Prozesse zu beschleunigen und Innovationen erfolgreich umzusetzen. So entsteht echter Wettbewerbsvorteil im viel umkämpften Lebensmittelhandel.",SL098
keynote,Keynote,Raus aus der Komfortzone: Was Hochleistungssport mit Karriere verbindet,"Im Triathlon lernst du schnell: Nicht der perfekte Start zählt, sondern wie du mit Unvorhersehbaren umgehst, mit Momenten, wenn du komplett auf dich allein gestellt bist, und was Fokus und Leidenschaft möglich machen können. Genau diese Haltung aus seinem Hochleistungssport trägt großen Anteil zu seiner Karriere von der Dynamik der Unternehmensberatung bis hin zur heutigen jungen Führungskraft im internationalen Konzern. 
In diesem Talk bekommst du einen ehrlichen Blick hinter die Kulissen von Leistungsfähigkeit, Entscheidungen und Selbstführung - ohne Heldengeschichte, aber mit klaren Prinzipien, die du direkt anwenden kannst.

Das nimmst du mit:
- Wie du Zielklarheit aufbaust, ohne dich in Dauer-Performance zu verlieren 
- Routinen für Fokus, Energie und mentale Stabilität im Arbeitsalltag 
- Wie du Rückschläge als Erfahrung für deine Weiterentwicklung nutzt und konsequent dranbleibst 
- Wie du Verantwortung übernimmst, auch wenn du nicht alles kontrollieren kannst 

Er spricht darüber aus gelebter Praxis - aus Sport, Beratung und Leadership. Geh raus und gestalte deinen Weg: mutig, reflektiert, wirksam.",SL090
keynote,Keynote,Scaling Smart: Exploring Financing Options for Hypergrowth,"Rapid growth is not just a matter of luck - it is the outcome of thoughtful financing strategies. In the race to scale, startups face critical choices about how to fund expansion, develop new products, and enter new markets. This keynote explores the evolving landscape of financing options for hypergrowth startups, from equity and venture capital to innovative solutions like Growth Credit. Discover how combining different types of capital can strengthen your company’s financial foundation, optimize resources, and empower you to make bold strategic moves. Growth Credit stands out as a powerful tool that allows founders to accelerate growth without giving up control. Learn how to unlock new opportunities, maximize your momentum, and build a scaling strategy that fits your vision.",SL144
keynote,Keynote,State of Democracy 2026: Are We Still Okay?,"Die Demokratie ist eine der Grundfesten unseres Staates und unserer Gesellschaft. Im Grundgesetz ist das Demokratieprinzip in der sogenannten Ewigkeitsklausel fest verankert und von jeglicher Gesetzesänderung ausgenommen. Trotz dessen ist Demokratie keine Selbstverständlichkeit, sondern ein immer wieder zu pflegendes Gut, dass sich mit jedem Tag verändert und neu erfindet. So stellte Helmut Schmidt einst fest: „Demokratie ist kein Zustand, Demokratie ist ein Prozess.“ Doch wo stehen wir 2026 in diesem Prozess? Machen wir das gut? Und was können wir für die Demokratie in Deutschland tun? Diesen Fragen widmet sich der Historiker Andreas Wirsching in einer tiefgreifenden Bestandsaufnahme.",SL128
keynote,Keynote,State of Industries 2026 - Where the Jobs Are And Opportunities Arise,"Der Arbeitsmarkt verändert sich rasant - aber wo genau entstehen die Chancen? In dieser Keynote liefern wir einen datenbasierten Überblick über die Branchen, die 2026 boomen, wo Talente am stärksten gesucht werden und welche Skills den Unterschied machen. Mit aktuellen Zahlen, Trends und Prognosen aus Recruiting, Talent-Markt und Wirtschaftsforschung - und konkreten Takeaways, die Young Professionals direkt für ihre Karriereplanung nutzen können.

Das nimmst du mit: 
- Welche Branchen und Job-Familien 2026 besonders stark einstellen - und warum 
- Wie du Talent-Trends (z. B. Skill-Shifts, Gehalts- & Standortdynamiken) für deine Entscheidungen nutzt 
- Welche Future Skills in welchen Feldern den größten Hebel haben - von AI-Literacy bis Stakeholder-Management 
- Ein einfaches Vorgehen, um deine nächsten 12-18 Monate strategisch zu planen (Rollen, Skills, Lernpfad) 
- Konkrete Signale aus Recruiting- und Marktdaten, mit denen du Hypes von echten Chancen unterscheidest 

Die Insights basieren auf aktuellen Analysen aus Recruiting, Talent-Markt und Wirtschaftsforschung. Du gehst raus mit Richtung - und dem Mut, deine Karriere aktiv zu gestalten: Where ambition meets direction.",SL088
keynote,Keynote,Stop Managing. Start Moving People. Neuropsychologie wirksamer Führung,"Führung lässt mit den richtigen Hacks echte Bewegung bei Menschen entstehen.
In dieser Keynote lernst du, wie du über Emotion, Wahrnehmung und Klarheit Wirkung erzeugst, Verhalten aktiv gestaltest und Führung spürbar wirksam machst.
Carolin Adler ist Chief Perspective Officer der Wings & Vision GmbH und war selbst viele Jahre in Führungsrollen auf Konzernebene tätig.
In dieser Keynote verbindet sie neuropsychologische Tiefe mit radikal pragmatischen Umsetzungstipps.

Das nimmst du mit:
- Wie gehirngerechte Führung funktioniert und du mit neurobasierten Hacks sofort Wirkung erzielst
- Wie du mit kleinen, gezielten Interventionen in der Führungskommunikation Verhalten steuerst und Dynamiken aktiv gestaltest
- Konkrete Tools für mehr Klarheit, Präsenz und Wirkung, direkt im nächsten Meeting anwendbar",SL078
keynote,Keynote,Suddenly in Charge - being a Teamlead at young age,"In this inspiring keynote Cosima Gulde, Innovation Ecosystem Lead at Siemens, will talk about her first experiences as a teamlead and the challenges she is dealin with. Cosima will give great insides on the fundamental questions she is facing as a young leader, such as: How do I lead a team in times where technology and career paths are changing constantly? How do I lead people who used to be my colleagues or are the same age as I am? And: At what point do I as a teamlead need to let go off a team member which is outperforming?

In this talk, Cosima will combine her great interest in how technology changes the way we work, decide and collaborate and her knowledge of leading a team at young age. A must for every young leader.",SL067
keynote,Keynote,Synchronizing Clocks: From Circadian Biology to Entrepreneurship,"Our bodies run on internal clocks - and understanding them could revolutionize medicine. From breakthrough research at EMBL to founding TimeTeller®, this is the story of turning circadian biology into a startup. How do you commercialize fundamental science? Navigate the gap between lab and market? And why timing - literally - is everything in both biology and business. A fascinating journey from discovery to venture, showing how deep science becomes deep tech.",SL151
keynote,Keynote,The Power of Art: How To Visualize Impact,"Ökosysteme auf ewig abgrenzen, die Balance zwischen Mensch und Natur wiederherstellen und damit die Zukunft neu definieren - das ist die Vision von Joschua Gumpert. Er präsentiert die Idee seiner immersiv-futuristischen Ausstellung WE DRAW THE LINE, in der er seine Kunst mit wissenschaftlichen Erkenntnissen verknüpfen und eine neue Welt initiieren möchte.",SL134
keynote,Keynote,The rules have changed. Here's how to win anyway.,,SL119
keynote,Keynote,The Truth Crisis: Navigating AI in Media,"„Is it AI?“ - das ist wohl eine der häufigst gestellten Fragen in den Kommentarspalten von Instagram und TikTok. Ein Beleg dafür, dass künstliche Intelligenzen eine noch nie dagewesene Möglichkeiten bieten, Aufnahmen und Bilder in authentischer Qualität zu erzeugen oder zu verändern. „Is it AI?“ steht aber nicht nur für diese Innovation, sondern gleichsam für die Vertrauenskrise, die KI-Tools in Bereichen wie der Nachrichtenberichterstattung ausgelöst haben. In einer beeindruckenden Keynote zeigt Ole Reissmann, Leiter Künstliche Intelligenz beim SPIEGEL, wie KI die Medienlandschaft verändert und welche Chancen im Gegenzug daraus erwachsen.",SL131
keynote,Keynote,There Is No Finish Line: Karriere & Leadership in Tech - Perspektiven eines CIO,"Manche Karrieren wirken von außen wie ein gerader Aufstieg. Von innen sind sie oft eine Reihe kluger Moves - bis du merkst, dass du nicht mehr für deine eigenen Gründe läufst.

Oliver Gebien nimmt dich mit in seinen Weg durch Consulting, Tech und Luxury Goods (u. a. BCG, Microsoft, Montblanc) bis zu seiner Rolle als CIO bei Sportfive - und teilt ehrlich, wo er Entscheidungen aus Status statt aus Klarheit getroffen hat, wann er bewusst neu ausgerichtet hat und warum genau das heute der Kern von Leadership in der KI-Ära ist.

Das nimmst du mit:
- Wie du Selbstkenntnis als Future Skill aufbaust, statt nur dein Skill-Set zu stapeln 
- Wie du Karriereentscheidungen triffst, die zu dir passen - nicht nur zu deinem Lebenslauf 
- Warum menschliche Führung mit KI wichtiger wird: Orientierung, Urteilskraft, Verantwortung 
- Wie du in Tech wirksam führst, auch ohne der beste Engineer im Raum zu sein 

Du gehst raus mit mehr Richtung - und dem Mut, sie selbst zu setzen (Where ambition meets direction).",SL114
keynote,Keynote,Turn Your Talent into the Right Direction,"Du hast Skills, Energie, Potenzial - aber weißt du, wohin du willst? Diese Keynote hilft dir, Klarheit zu gewinnen: Wie erkennst du, welcher Weg der richtige für dich ist? Wie verbindest du deine Talente mit echtem Impact? Und wie triffst du Entscheidungen, die dich weiterbringen - beruflich und persönlich? Ich teile konkrete Strategien, Fragen und Impulse, um deine Karriere bewusst zu gestalten. Für alle, die nicht dem Zufall überlassen wollen, wo sie in 5 Jahren stehen. Klar, umsetzbar, motivierend.",SL175
keynote,Keynote,Upgrade required: Warum im KI-Zeitalter dein Mindset wichtiger ist als jedes Software-Update,"KI ist kein reines Technologie-Thema - sie ist ein Karriere-Thema.
Während sich die Fähigkeiten von KI immer schneller entwickeln, entscheidet heute vor allem eines über beruflichen Erfolg: das richtige Mindset.
Der Vortrag zeigt, wie KI Karrierewege verändert, warum klassische Einstiegslogiken bröckeln und welche Denkweisen Berufseinsteiger, Young Leaders und Gründer jetzt brauchen, um nicht ersetzbar, sondern relevant zu bleiben.
Klar, ehrlich und mit konkreten Impulsen für die eigene Laufbahn.",SL116
keynote,Keynote,Venture or Vanish - Lifting European Assets Back to Global Strength,"Europe stands at a critical crossroads: manage a gradual economic decline or engineer a bold industrial comeback. This session explores why strategic corporate venturing is an ultimate lever to reverse the tide and reclaim our competitive edge. Drawing on the journey of Jungheinrich and its venturing unit Uplift Ventures, we discuss how to transform deep-rooted industrial assets into high-tech springboards - proving that the path to global strength is not built from scratch but lifted from the very potential Europe already owns.",SL145
